Neighborhood,Year,Factor,Instances_Built
حي السويدي,2024,Mosques_needed,4
حي السويدي,2025,Mosques_needed,4
حي السويدي,2026,Mosques_needed,4
حي السويدي,2027,Mosques_needed,2
حي الفلاح,2024,Secondary_schools_needed,1
حي الفلاح,2026,Secondary_schools_needed,1
حي الفلاح,2028,Secondary_schools_needed,1
حي الفلاح,2030,Secondary_schools_needed,1
حي الياسمين,2024,Secondary_schools_needed,1
حي الياسمين,2026,Secondary_schools_needed,1
حي الياسمين,2028,Secondary_schools_needed,1
حي الياسمين,2030,Secondary_schools_needed,1
حي العزيزية,2024,Secondary_schools_needed,1
حي العزيزية,2026,Secondary_schools_needed,1
حي العزيزية,2028,Secondary_schools_needed,1
حي العزيزية,2030,Secondary_schools_needed,1
حي المنصورة,2024,Secondary_schools_needed,1
حي المنصورة,2026,Secondary_schools_needed,1
حي المنصورة,2028,Secondary_schools_needed,1
حي المنصورة,2030,Secondary_schools_needed,1
حي المونسية,2024,Secondary_schools_needed,1
حي المونسية,2026,Secondary_schools_needed,1
حي المونسية,2028,Secondary_schools_needed,1
حي المونسية,2030,Secondary_schools_needed,1
حي الروضة,2024,Secondary_schools_needed,1
حي السويدي,2024,Secondary_schools_needed,1
حي السويدي,2026,Secondary_schools_needed,1
حي السويدي,2028,Secondary_schools_needed,1
حي السويدي,2030,Secondary_schools_needed,1
حي الزهرة,2024,Secondary_schools_needed,1
حي الزهرة,2026,Secondary_schools_needed,1
حي الزهرة,2028,Secondary_schools_needed,1
حي الزهرة,2030,Secondary_schools_needed,1
حي الفلاح,2024,Elementary_schools_needed,1
حي الفلاح,2025,Elementary_schools_needed,1
حي الفلاح,2026,Elementary_schools_needed,1
حي الفلاح,2027,Elementary_schools_needed,1
حي الياسمين,2024,Elementary_schools_needed,1
حي الياسمين,2025,Elementary_schools_needed,1
حي الياسمين,2026,Elementary_schools_needed,1
حي الياسمين,2027,Elementary_schools_needed,1
حي الياسمين,2028,Elementary_schools_needed,1
حي الياسمين,2029,Elementary_schools_needed,1
حي الياسمين,2030,Elementary_schools_needed,1
حي العزيزية,2024,Elementary_schools_needed,1
حي العزيزية,2025,Elementary_schools_needed,1
حي العزيزية,2026,Elementary_schools_needed,1
حي العزيزية,2027,Elementary_schools_needed,1
حي العزيزية,2028,Elementary_schools_needed,1
حي العزيزية,2029,Elementary_schools_needed,1
حي العزيزية,2030,Elementary_schools_needed,1
حي المونسية,2024,Elementary_schools_needed,1
حي المونسية,2025,Elementary_schools_needed,1
حي المونسية,2026,Elementary_schools_needed,1
حي المونسية,2027,Elementary_schools_needed,1
حي المونسية,2028,Elementary_schools_needed,1
حي المونسية,2029,Elementary_schools_needed,1
حي المونسية,2030,Elementary_schools_needed,1
حي الروضة,2024,Elementary_schools_needed,1
حي الروضة,2025,Elementary_schools_needed,1
حي الروضة,2026,Elementary_schools_needed,1
حي الروضة,2027,Elementary_schools_needed,1
حي السويدي,2024,Elementary_schools_needed,1
حي الياسمين,2024,Hospitals_needed,1
حي الياسمين,2027,Hospitals_needed,1
حي الياسمين,2030,Hospitals_needed,1
حي العزيزية,2024,Hospitals_needed,1
حي العزيزية,2027,Hospitals_needed,1
حي العزيزية,2030,Hospitals_needed,1
حي المونسية,2024,Hospitals_needed,1
حي المونسية,2027,Hospitals_needed,1
حي المونسية,2030,Hospitals_needed,1
حي الروضة,2024,Hospitals_needed,1
حي الروضة,2027,Hospitals_needed,1
حي السويدي,2024,Hospitals_needed,1
حي السويدي,2027,Hospitals_needed,1
حي السويدي,2030,Hospitals_needed,1
حي الزهرة,2024,Hospitals_needed,1
حي الزهرة,2027,Hospitals_needed,1
حي الزهرة,2030,Hospitals_needed,1
حي الفلاح,2024,Gym_needed,2
حي الفلاح,2025,Gym_needed,2
حي الفلاح,2026,Gym_needed,1
حي الياسمين,2024,Gym_needed,2
حي الياسمين,2025,Gym_needed,2
حي الياسمين,2026,Gym_needed,2
حي الياسمين,2027,Gym_needed,2
حي الياسمين,2028,Gym_needed,2
حي الياسمين,2029,Gym_needed,2
حي الياسمين,2030,Gym_needed,2
حي العزيزية,2024,Gym_needed,2
حي العزيزية,2025,Gym_needed,2
حي العزيزية,2026,Gym_needed,2
حي العزيزية,2027,Gym_needed,2
حي العزيزية,2028,Gym_needed,2
حي العزيزية,2029,Gym_needed,2
حي العزيزية,2030,Gym_needed,2
حي المنصورة,2024,Gym_needed,2
حي المنصورة,2025,Gym_needed,2
حي المنصورة,2026,Gym_needed,2
حي المنصورة,2027,Gym_needed,2
حي المونسية,2024,Gym_needed,2
حي المونسية,2025,Gym_needed,2
حي المونسية,2026,Gym_needed,2
حي الروضة,2024,Gym_needed,2
حي الروضة,2025,Gym_needed,2
حي الروضة,2026,Gym_needed,2
حي الروضة,2027,Gym_needed,1
حي السويدي,2024,Gym_needed,2
حي السويدي,2025,Gym_needed,2
حي السويدي,2026,Gym_needed,2
حي السويدي,2027,Gym_needed,2
حي السويدي,2028,Gym_needed,2
حي السويدي,2029,Gym_needed,2
حي الزهرة,2024,Gym_needed,2
حي الزهرة,2025,Gym_needed,2
حي الزهرة,2026,Gym_needed,2
حي الزهرة,2027,Gym_needed,2
حي الفلاح,2024,Park_needed,3
حي الفلاح,2025,Park_needed,3
حي الفلاح,2026,Park_needed,3
حي الفلاح,2027,Park_needed,3
حي الفلاح,2028,Park_needed,2
حي الياسمين,2024,Park_needed,3
حي الياسمين,2025,Park_needed,3
حي الياسمين,2026,Park_needed,3
حي الياسمين,2027,Park_needed,3
حي الياسمين,2028,Park_needed,3
حي الياسمين,2029,Park_needed,3
حي الياسمين,2030,Park_needed,3
حي العزيزية,2024,Park_needed,3
حي العزيزية,2025,Park_needed,3
حي العزيزية,2026,Park_needed,3
حي العزيزية,2027,Park_needed,3
حي العزيزية,2028,Park_needed,3
حي العزيزية,2029,Park_needed,3
حي العزيزية,2030,Park_needed,3
حي المنصورة,2024,Park_needed,3
حي المنصورة,2025,Park_needed,3
حي المنصورة,2026,Park_needed,3
حي المنصورة,2027,Park_needed,3
حي المنصورة,2028,Park_needed,3
حي المنصورة,2029,Park_needed,3
حي المنصورة,2030,Park_needed,2
حي المونسية,2024,Park_needed,3
حي المونسية,2025,Park_needed,3
حي المونسية,2026,Park_needed,3
حي المونسية,2027,Park_needed,3
حي المونسية,2028,Park_needed,3
حي المونسية,2029,Park_needed,3
حي المونسية,2030,Park_needed,3
حي الروضة,2024,Park_needed,3
حي الروضة,2025,Park_needed,3
حي الروضة,2026,Park_needed,3
حي الروضة,2027,Park_needed,3
حي الروضة,2028,Park_needed,3
حي الروضة,2029,Park_needed,3
حي الروضة,2030,Park_needed,1
حي السويدي,2024,Park_needed,3
حي السويدي,2025,Park_needed,3
حي السويدي,2026,Park_needed,3
حي السويدي,2027,Park_needed,3
حي السويدي,2028,Park_needed,3
حي السويدي,2029,Park_needed,3
حي السويدي,2030,Park_needed,3
حي الزهرة,2024,Park_needed,3
حي الزهرة,2025,Park_needed,3
حي الزهرة,2026,Park_needed,3
حي الزهرة,2027,Park_needed,3
حي الزهرة,2028,Park_needed,3
حي الزهرة,2029,Park_needed,3
حي الزهرة,2030,Park_needed,3
حي الفلاح,2024,Rest_coffee_needed,20
حي الفلاح,2025,Rest_coffee_needed,20
حي الفلاح,2026,Rest_coffee_needed,20
حي الفلاح,2027,Rest_coffee_needed,10
حي الياسمين,2024,Rest_coffee_needed,20
حي الياسمين,2025,Rest_coffee_needed,20
حي الياسمين,2026,Rest_coffee_needed,20
حي الياسمين,2027,Rest_coffee_needed,20
حي الياسمين,2028,Rest_coffee_needed,20
حي الياسمين,2029,Rest_coffee_needed,20
حي الياسمين,2030,Rest_coffee_needed,20
حي العزيزية,2024,Rest_coffee_needed,20
حي العزيزية,2025,Rest_coffee_needed,20
حي العزيزية,2026,Rest_coffee_needed,20
حي العزيزية,2027,Rest_coffee_needed,20
حي العزيزية,2028,Rest_coffee_needed,20
حي العزيزية,2029,Rest_coffee_needed,20
حي العزيزية,2030,Rest_coffee_needed,20
حي المنصورة,2024,Rest_coffee_needed,20
حي المنصورة,2025,Rest_coffee_needed,20
حي المنصورة,2026,Rest_coffee_needed,9
حي المونسية,2024,Rest_coffee_needed,20
حي المونسية,2025,Rest_coffee_needed,20
حي المونسية,2026,Rest_coffee_needed,20
حي المونسية,2027,Rest_coffee_needed,20
حي المونسية,2028,Rest_coffee_needed,11
حي الروضة,2024,Rest_coffee_needed,20
حي الروضة,2025,Rest_coffee_needed,20
حي الروضة,2026,Rest_coffee_needed,20
حي الروضة,2027,Rest_coffee_needed,20
حي الروضة,2028,Rest_coffee_needed,20
حي الروضة,2029,Rest_coffee_needed,2
حي السويدي,2024,Rest_coffee_needed,20
حي السويدي,2025,Rest_coffee_needed,20
حي السويدي,2026,Rest_coffee_needed,20
حي السويدي,2027,Rest_coffee_needed,20
حي السويدي,2028,Rest_coffee_needed,20
حي السويدي,2029,Rest_coffee_needed,20
حي السويدي,2030,Rest_coffee_needed,20
حي الزهرة,2024,Rest_coffee_needed,20
حي الزهرة,2025,Rest_coffee_needed,20
حي الزهرة,2026,Rest_coffee_needed,20
حي الزهرة,2027,Rest_coffee_needed,20
حي الزهرة,2028,Rest_coffee_needed,20
حي الزهرة,2029,Rest_coffee_needed,20
حي الزهرة,2030,Rest_coffee_needed,12
